"filename", "language", "CSS", "Markdown", "JavaScript", "XML", "HTML", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\classes-test.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\csv\2023.01.02_transactions.csv", "CSV", 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\auto-gas.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\cat_to_img.json", "JSON", 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\fun.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\groceries.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\home.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\restaurants.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\travel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\img\utilities.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\index.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 69, 17, 152
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\json\2023.01.02_transactions.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\main.css", "CSS", 143, 0, 0, 0, 0, 0, 0, 9, 37, 189
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\main.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 7, 28, 110
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\modules\doc-elements.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\modules\helper.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\modules\test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 161, 37, 198
"c:\Users\TE313862\OneDrive - TE Connectivity\Documents\600 - Training & Extracurricular\606 - Python\repos\javascript-budget\modules\transactions.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 3, 12, 91
"Total", "-", 143, 2, 193, 7, 66, 16, 18, 249, 141, 835
