Date,Vendor,Category,Amount
1/16/2023,Harris Teeter,Groceries,122.29
1/18/2023,Food Lion,Groceries,78.4
1/18/2023,HelloFresh,Groceries,71.13
1/16/2023,DoorDash,Delivery,45.56
1/16/2023,Harris Teeter,Groceries,63.75
1/15/2023,Southern Craft Butcher,Restaurants,39.59
1/15/2023,Heyday Brewing,Restaurants,10.66
1/15/2023,Heyday Brewing,Restaurants,10.66
1/15/2023,Heyday Brewing,Restaurants,18.24
1/15/2023,Heyday Brewing,Restaurants,78.24
1/13/2023,Amazon,Home & Kingsley,31.1
1/13/2023,Tupelo Honey Cafe,Restaurants,53.63
1/11/2023,HelloFresh,Groceries,9.14
1/11/2023,HelloFresh,Groceries,83.35
1/10/2023,Uber Eats,Delivery,27.26
1/8/2023,Amazon,Home & Kingsley,22.48
1/7/2023,Amazon,Home & Kingsley,11.79
1/7/2023,Harris Teeter,Groceries,118.23
1/7/2023,Trader Joe's,Groceries,80.18
